onset	duration	nwb_table	HitR	HitL	ErrR	ErrL	NoLickR	NoLickL	LickEarly	StimTrials
958.9182	8.0	trials	False	True	False	False	False	False	True	True
970.1705	8.0	trials	False	False	True	False	False	False	False	True
982.0737	8.0	trials	False	False	True	False	False	False	False	True
994.0803	8.0	trials	True	False	False	False	False	False	False	True
1004.0571	8.0	trials	False	True	False	False	False	False	True	True
1015.5967	8.0	trials	False	True	False	False	False	False	True	True
1027.9253	8.0	trials	False	True	False	False	False	False	False	True
1037.8626	8.0	trials	False	False	True	False	False	False	True	True
1050.7819	8.0	trials	False	True	False	False	False	False	True	True
1061.8286	8.0	trials	False	True	False	False	False	False	True	True
1072.5106	8.0	trials	False	True	False	False	False	False	True	True
1083.3207	8.0	trials	True	False	False	False	False	False	False	True
1093.348	8.0	trials	False	True	False	False	False	False	False	True
1103.3127	8.0	trials	False	True	False	False	False	False	True	True
1113.691	8.0	trials	False	True	False	False	False	False	True	True
1124.2392	8.0	trials	False	False	True	False	False	False	True	True
1137.0887	8.0	trials	False	True	False	False	False	False	False	True
1147.1179	8.0	trials	True	False	False	False	False	False	False	True
1157.0951	8.0	trials	False	False	True	False	False	False	False	True
1169.1102	8.0	trials	False	True	False	False	False	False	False	True
1179.2036	8.0	trials	True	False	False	False	False	False	False	True
1189.2861	8.0	trials	False	True	False	False	False	False	False	True
1199.3819	8.0	trials	False	False	True	False	False	False	False	True
1211.375	8.0	trials	True	False	False	False	False	False	False	True
1221.4184	8.0	trials	True	False	False	False	False	False	False	True
1231.4419	8.0	trials	False	True	False	False	False	False	False	True
1241.4567	8.0	trials	True	False	False	False	False	False	False	True
1251.5496	8.0	trials	True	False	False	False	False	False	False	True
1261.6457	8.0	trials	True	False	False	False	False	False	False	True
1271.6251	8.0	trials	False	True	False	False	False	False	False	True
1281.7849	8.0	trials	True	False	False	False	False	False	False	True
1291.7409	8.0	trials	False	True	False	False	False	False	False	True
1301.7791	8.0	trials	True	False	False	False	False	False	False	True
1311.7302	8.0	trials	True	False	False	False	False	False	False	True
1321.6769	8.0	trials	False	True	False	False	False	False	False	True
1331.7624	8.0	trials	True	False	False	False	False	False	True	True
1342.7574	8.0	trials	True	False	False	False	False	False	False	True
1352.8754	8.0	trials	True	False	False	False	False	False	False	True
1362.8561	8.0	trials	False	True	False	False	False	False	False	True
1372.988	8.0	trials	True	False	False	False	False	False	False	True
1382.9784	8.0	trials	True	False	False	False	False	False	False	True
1392.9373	8.0	trials	True	False	False	False	False	False	False	True
1402.9107	8.0	trials	False	True	False	False	False	False	False	True
1413.0751	8.0	trials	True	False	False	False	False	False	False	True
1423.1797	8.0	trials	False	True	False	False	False	False	False	True
1433.257	8.0	trials	True	False	False	False	False	False	False	True
1443.2131	8.0	trials	True	False	False	False	False	False	False	True
1453.205	8.0	trials	False	True	False	False	False	False	False	True
1463.311	8.0	trials	False	True	False	False	False	False	False	True
1473.3829	8.0	trials	False	True	False	False	False	False	True	True
1484.1301	8.0	trials	True	False	False	False	False	False	False	True
1494.1341	8.0	trials	True	False	False	False	False	False	False	True
1504.1188	8.0	trials	True	False	False	False	False	False	False	True
1514.107	8.0	trials	False	True	False	False	False	False	False	True
1524.2073	8.0	trials	True	False	False	False	False	False	False	True
1534.2038	8.0	trials	False	True	False	False	False	False	False	True
1544.3476	8.0	trials	True	False	False	False	False	False	False	True
1554.3476	8.0	trials	True	False	False	False	False	False	False	True
1564.4582	8.0	trials	False	True	False	False	False	False	True	True
1575.339	8.0	trials	True	False	False	False	False	False	False	True
1585.4642	8.0	trials	True	False	False	False	False	False	False	True
1595.4632	8.0	trials	True	False	False	False	False	False	False	True
1605.5697	8.0	trials	False	True	False	False	False	False	False	True
1615.6669	8.0	trials	True	False	False	False	False	False	False	True
1625.7822	8.0	trials	False	True	False	False	False	False	False	True
1635.9021	8.0	trials	False	True	False	False	False	False	False	True
1646.0206	8.0	trials	True	False	False	False	False	False	False	True
1655.9891	8.0	trials	False	True	False	False	False	False	False	True
1666.1395	8.0	trials	True	False	False	False	False	False	False	True
1676.156	8.0	trials	True	False	False	False	False	False	False	True
1686.1633	8.0	trials	False	True	False	False	False	False	False	True
1696.2176	8.0	trials	True	False	False	False	False	False	False	True
1706.2212	8.0	trials	True	False	False	False	False	False	False	True
1716.3385	8.0	trials	True	False	False	False	False	False	False	True
1726.3181	8.0	trials	False	True	False	False	False	False	False	True
1736.4003	8.0	trials	True	False	False	False	False	False	False	True
1746.4052	8.0	trials	True	False	False	False	False	False	False	True
1756.4153	8.0	trials	True	False	False	False	False	False	False	True
1766.4171	8.0	trials	False	True	False	False	False	False	False	True
1776.548	8.0	trials	False	True	False	False	False	False	False	True
1786.6391	8.0	trials	False	True	False	False	False	False	False	True
1796.6927	8.0	trials	True	False	False	False	False	False	False	True
1806.8421	8.0	trials	False	True	False	False	False	False	False	True
1816.9451	8.0	trials	True	False	False	False	False	False	False	True
1826.9754	8.0	trials	False	True	False	False	False	False	False	True
1837.1761	8.0	trials	True	False	False	False	False	False	False	True
1847.3008	8.0	trials	True	False	False	False	False	False	False	True
1857.2891	8.0	trials	False	True	False	False	False	False	False	True
1867.3534	8.0	trials	False	True	False	False	False	False	False	True
1877.5368	8.0	trials	False	True	False	False	False	False	False	True
1887.6355	8.0	trials	True	False	False	False	False	False	False	True
1897.6792	8.0	trials	False	True	False	False	False	False	False	True
1907.7925	8.0	trials	True	False	False	False	False	False	False	True
1917.9533	8.0	trials	True	False	False	False	False	False	False	True
1927.9674	8.0	trials	True	False	False	False	False	False	False	True
1937.9664	8.0	trials	False	True	False	False	False	False	False	True
1948.196	8.0	trials	False	True	False	False	False	False	False	True
1958.3701	8.0	trials	True	False	False	False	False	False	False	True
1968.5053	8.0	trials	True	False	False	False	False	False	False	True
1978.632	8.0	trials	True	False	False	False	False	False	False	True
1988.8206	8.0	trials	False	True	False	False	False	False	False	True
1998.9239	8.0	trials	False	True	False	False	False	False	False	True
2009.105	8.0	trials	False	True	False	False	False	False	False	True
2019.2999	8.0	trials	True	False	False	False	False	False	False	True
2029.4328	8.0	trials	False	False	True	False	False	False	False	True
2041.4901	8.0	trials	False	True	False	False	False	False	True	True
2053.8069	8.0	trials	False	True	False	False	False	False	False	True
2063.9882	8.0	trials	True	False	False	False	False	False	False	True
2074.0401	8.0	trials	True	False	False	False	False	False	False	True
2084.2545	8.0	trials	True	False	False	False	False	False	False	True
2094.2991	8.0	trials	False	True	False	False	False	False	False	True
2104.5112	8.0	trials	False	True	False	False	False	False	False	True
2114.5937	8.0	trials	True	False	False	False	False	False	False	True
2124.7966	8.0	trials	True	False	False	False	False	False	False	True
2134.973	8.0	trials	False	True	False	False	False	False	False	True
2145.0944	8.0	trials	True	False	False	False	False	False	False	True
2155.1681	8.0	trials	True	False	False	False	False	False	False	True
2165.3261	8.0	trials	False	True	False	False	False	False	False	True
2175.5407	8.0	trials	False	True	False	False	False	False	False	True
2185.7455	8.0	trials	True	False	False	False	False	False	False	True
2195.8715	8.0	trials	False	False	True	False	False	False	False	True
2208.0554	8.0	trials	True	False	False	False	False	False	False	True
2221.0427	8.0	trials	False	False	False	False	False	True	False	True
2232.0338	8.0	trials	False	True	False	False	False	False	False	True
2242.5664	8.0	trials	False	False	False	False	False	True	True	True
2254.9015	8.0	trials	False	False	False	False	True	False	False	True
2265.8991	8.0	trials	False	False	False	False	True	False	False	True
2276.8914	8.0	trials	True	False	False	False	False	False	False	True
2287.1734	8.0	trials	False	False	False	False	True	False	False	True
2298.1708	8.0	trials	False	False	False	False	True	False	False	True
2309.1725	8.0	trials	False	False	False	False	True	False	False	True
2320.1789	8.0	trials	False	False	False	False	True	False	False	True
2398.9492	8.0	trials	True	False	False	False	False	False	True	True
2410.7399	8.0	trials	False	False	True	False	False	False	False	True
2422.9327	8.0	trials	True	False	False	False	False	False	True	True
2434.5934	8.0	trials	False	True	False	False	False	False	False	True
2444.7709	8.0	trials	True	False	False	False	False	False	False	True
2454.9247	8.0	trials	True	False	False	False	False	False	False	True
2464.9729	8.0	trials	False	False	False	False	True	False	False	True
2475.9755	8.0	trials	False	True	False	False	False	False	False	True
2521.3462	8.0	trials	False	True	False	False	False	False	False	True
2531.4254	8.0	trials	True	False	False	False	False	False	False	True
2541.6532	8.0	trials	False	False	True	False	False	False	False	True
2553.8284	8.0	trials	False	False	False	False	False	True	False	True
2564.8418	8.0	trials	False	True	False	False	False	False	False	True
2574.9529	8.0	trials	True	False	False	False	False	False	False	True
2585.1837	8.0	trials	False	False	False	False	True	False	False	True
2596.1993	8.0	trials	False	False	False	False	True	False	False	True
2607.2203	8.0	trials	False	False	False	False	True	False	False	True
2622.6187	8.0	trials	False	False	True	False	False	False	False	True
2634.9004	8.0	trials	True	False	False	False	False	False	False	True
2645.0286	8.0	trials	True	False	False	False	False	False	False	True
2655.2283	8.0	trials	False	True	False	False	False	False	False	True
2665.4553	8.0	trials	True	False	False	False	False	False	True	True
2679.2465	8.0	trials	True	False	False	False	False	False	True	True
2689.5469	8.0	trials	True	False	False	False	False	False	False	True
2699.6532	8.0	trials	False	False	False	True	False	False	False	True
2711.8635	8.0	trials	False	False	True	False	False	False	False	True
2724.164	8.0	trials	True	False	False	False	False	False	False	True
2734.3643	8.0	trials	False	False	False	False	False	True	False	True
2745.3886	8.0	trials	False	False	False	False	False	True	False	True
2756.4055	8.0	trials	False	True	False	False	False	False	False	True
2766.6857	8.0	trials	False	True	False	False	False	False	True	True
2777.9118	8.0	trials	False	False	True	False	False	False	False	True
2790.1216	8.0	trials	True	False	False	False	False	False	False	True
2800.2733	8.0	trials	False	True	False	False	False	False	False	True
2810.3883	8.0	trials	False	True	False	False	False	False	False	True
2820.5989	8.0	trials	True	False	False	False	False	False	False	True
2830.7629	8.0	trials	False	True	False	False	False	False	True	True
2842.2233	8.0	trials	True	False	False	False	False	False	False	True
2852.444	8.0	trials	False	True	False	False	False	False	False	True
2862.6707	8.0	trials	True	False	False	False	False	False	False	True
2872.8839	8.0	trials	True	False	False	False	False	False	False	True
2882.9812	8.0	trials	False	True	False	False	False	False	True	True
2894.4244	8.0	trials	True	False	False	False	False	False	False	True
2904.6279	8.0	trials	False	True	False	False	False	False	True	True
2915.6268	8.0	trials	True	False	False	False	False	False	False	True
2925.8643	8.0	trials	False	False	True	False	False	False	False	True
2937.9449	8.0	trials	True	False	False	False	False	False	False	True
2948.0567	8.0	trials	False	True	False	False	False	False	False	True
2958.1716	8.0	trials	True	False	False	False	False	False	False	True
2968.2758	8.0	trials	True	False	False	False	False	False	False	True
2978.417	8.0	trials	False	False	False	False	True	False	False	True
2989.4715	8.0	trials	False	True	False	False	False	False	False	True
2999.6582	8.0	trials	False	False	False	False	True	False	False	True
3010.7312	8.0	trials	False	False	True	False	False	False	True	True
3023.3457	8.0	trials	True	False	False	False	False	False	False	True
3033.5577	8.0	trials	True	False	False	False	False	False	False	True
3043.9997	8.0	trials	False	True	False	False	False	False	False	True
3054.1443	8.0	trials	False	False	False	False	False	True	False	True
3065.217	8.0	trials	False	True	False	False	False	False	False	True
3075.339	8.0	trials	False	False	False	False	True	False	False	True
3086.4025	8.0	trials	True	False	False	False	False	False	False	True
3096.571	8.0	trials	True	False	False	False	False	False	False	True
3106.7283	8.0	trials	False	True	False	False	False	False	False	True
3116.8769	8.0	trials	True	False	False	False	False	False	False	True
3127.0898	8.0	trials	False	False	True	False	False	False	False	True
3139.2649	8.0	trials	True	False	False	False	False	False	True	True
3151.6134	8.0	trials	False	True	False	False	False	False	False	True
3161.8541	8.0	trials	True	False	False	False	False	False	False	True
3171.9776	8.0	trials	True	False	False	False	False	False	False	True
3182.2156	8.0	trials	False	True	False	False	False	False	False	True
3192.444	8.0	trials	True	False	False	False	False	False	False	True
3202.5712	8.0	trials	False	True	False	False	False	False	True	True
3214.2379	8.0	trials	True	False	False	False	False	False	False	True
3224.3807	8.0	trials	True	False	False	False	False	False	False	True
3234.5253	8.0	trials	True	False	False	False	False	False	False	True
